time,latitude,longitude,depth,14c_primary_production_dark_bottle,primary_production_mean_light_values_minus_dark_value,14c_primary_production_light_bottle_num_2,pressure,14c_primary_production_time_zero,14c_primary_production_light_bottle_num_3,14c_primary_production_light_bottle_num_1,temperature,salinity_from_goflo_bottle_or_ctd
1988-12-18 00:00:00,31.669,-64.049,5.0,0.75,6.15,6.59,,1.26,,7.21,,
1988-12-18 00:00:00,31.669,-64.049,25.0,,,,,1.97,,6.0,,
1988-12-18 00:00:00,31.669,-64.049,50.0,1.02,2.15,2.69,,1.57,3.19,3.62,,
1988-12-18 00:00:00,31.669,-64.049,75.0,1.43,0.29,1.4,,1.47,1.55,2.21,,
1988-12-18 00:00:00,31.669,-64.049,100.0,0.95,2.85,1.78,,1.46,8.48,1.15,,
1988-12-18 00:00:00,31.669,-64.049,120.0,1.01,0.16,0.75,,2.08,1.47,1.29,,
1989-01-27 00:00:00,31.695,-64.252,18.0,0.18,3.78,3.75,,0.19,4.36,3.77,,
1989-01-27 00:00:00,31.695,-64.252,41.0,0.21,3.5,3.55,,0.21,3.92,3.66,,
1989-01-27 00:00:00,31.695,-64.252,62.0,0.16,2.02,2.33,,0.09,2.05,2.17,,
1989-01-27 00:00:00,31.695,-64.252,81.0,0.19,0.77,0.92,,0.09,1.02,0.93,,
1989-01-27 00:00:00,31.695,-64.252,102.0,0.21,0.49,0.64,,0.1,0.67,0.79,,
1989-02-19 00:00:00,31.65,-64.522,2.0,0.44,28.3,29.67,,0.18,27.81,,,
1989-02-19 00:00:00,31.65,-64.522,20.0,0.38,8.11,7.05,,0.22,12.02,6.39,,
1989-02-19 00:00:00,31.65,-64.522,30.0,0.39,24.57,25.33,,0.24,25.31,24.23,,
1989-02-19 00:00:00,31.65,-64.522,47.0,0.29,1.84,2.06,,0.21,2.21,,,
1989-02-19 00:00:00,31.65,-64.522,75.0,,,0.86,,0.24,0.91,0.83,,
1989-02-19 00:00:00,31.65,-64.522,100.0,0.23,0.12,0.38,,0.22,0.32,0.36,,
1989-03-26 00:00:00,31.135,-64.751,4.0,0.36,4.02,4.47,,0.3,4.56,4.11,,
1989-03-26 00:00:00,31.135,-64.751,15.0,0.35,2.85,3.02,,0.32,3.42,3.17,,
