time,latitude,longitude,sieve_size,total_dry_weight_volume_all_size_fractions_normalized_200m_depth_mg_m3,total_dry_weight_volume_all_size_fractions_mg_m3,total_wet_weight_volume_all_size_fractions_mg_m3,total_wet_weight_volume_all_size_fractions_normalized_200m_depth_mg_m3,volume_of_water_m3,dry_weight_volume_of_water_mg_m3,max_depth,dry_weight_mg,duration_minutes,dry_weight_volume_of_water_normalized_200m_depth_mg_m3,wet_weight_volume_of_water_normalized_200m_depth_mg_m3,wet_weight_mg,wet_weight_volume_of_water_mg_m3
1994-04-06 15:58:00,31.564833333333333,-63.87416666666667,200.0,843.69,4.22,53.73,10745.33,135.501,1.55,,210.4,28,310.55,3630.98,2460.0,18.15
1994-04-06 15:58:00,31.564833333333333,-63.87416666666667,500.0,843.69,4.22,53.73,10745.33,135.501,0.89,,120.2,28,177.42,1800.73,1220.0,9.0
1994-04-06 15:58:00,31.564833333333333,-63.87416666666667,1000.0,843.69,4.22,53.73,10745.33,135.501,0.81,,110.4,28,162.95,3247.22,2200.0,16.24
1994-04-06 15:58:00,31.564833333333333,-63.87416666666667,2000.0,843.69,4.22,53.73,10745.33,135.501,0.7,,94.4,28,139.34,1387.45,940.0,6.94
1994-04-06 15:58:00,31.564833333333333,-63.87416666666667,5000.0,843.69,4.22,53.73,10745.33,135.501,0.27,,36.2,28,53.43,678.96,460.0,3.39
1994-04-06 16:25:00,31.5575,-63.86983333333333,200.0,554.39,2.77,28.56,5712.65,227.565,1.02,,232.0,26,203.9,2285.06,2600.0,11.43
1994-04-06 16:25:00,31.5575,-63.86983333333333,500.0,554.39,2.77,28.56,5712.65,227.565,0.79,,180.2,26,158.37,1599.54,1820.0,8.0
1994-04-06 16:25:00,31.5575,-63.86983333333333,1000.0,554.39,2.77,28.56,5712.65,227.565,0.47,,106.8,26,93.86,914.02,1040.0,4.57
1994-04-06 16:25:00,31.5575,-63.86983333333333,2000.0,554.39,2.77,28.56,5712.65,227.565,0.34,,77.0,26,67.67,615.21,700.0,3.08
1994-04-06 16:25:00,31.5575,-63.86983333333333,5000.0,554.39,2.77,28.56,5712.65,227.565,0.15,,34.8,26,30.58,298.82,340.0,1.49
1994-04-06 22:57:00,31.509666666666668,-63.784,200.0,459.61,2.3,22.74,4547.65,553.252,0.38,,207.8,47,75.12,788.07,2180.0,3.94
1994-04-06 22:57:00,31.509666666666668,-63.784,500.0,459.61,2.3,22.74,4547.65,553.252,0.55,,306.2,47,110.69,1084.5,3000.0,5.42
1994-04-06 22:57:00,31.509666666666668,-63.784,1000.0,459.61,2.3,22.74,4547.65,553.252,0.61,,337.6,47,122.04,1185.72,3280.0,5.93
1994-04-06 22:57:00,31.509666666666668,-63.784,2000.0,459.61,2.3,22.74,4547.65,553.252,0.64,,354.4,47,128.12,1286.94,3560.0,6.43
1994-04-06 22:57:00,31.509666666666668,-63.784,5000.0,459.61,2.3,22.74,4547.65,553.252,0.12,,65.4,47,23.64,202.44,560.0,1.01
1994-04-06 23:46:00,31.501333333333335,-63.779333333333334,1000.0,,,,,522.902,0.74,,384.6,30,147.1,1399.88,3660.0,7.0
1994-04-06 23:46:00,31.501333333333335,-63.779333333333334,2000.0,,,,,522.902,0.7,,368.6,30,140.98,1200.99,3140.0,6.0
1994-04-06 23:46:00,31.501333333333335,-63.779333333333334,5000.0,,,,,522.902,0.09,,46.6,30,17.82,152.99,400.0,0.76
1994-04-18 21:14:00,31.691833333333335,-64.135,200.0,229.84,1.15,11.21,2242.73,388.098,0.31,,122.0,26,62.87,684.36,1328.0,3.42
1994-04-18 21:14:00,31.691833333333335,-64.135,500.0,229.84,1.15,11.21,2242.73,388.098,0.29,,112.0,26,57.72,523.58,1016.0,2.62
1994-04-18 21:14:00,31.691833333333335,-64.135,1000.0,229.84,1.15,11.21,2242.73,388.098,0.3,,118.0,26,60.81,495.75,962.0,2.48
1994-04-18 21:14:00,31.691833333333335,-64.135,2000.0,229.84,1.15,11.21,2242.73,388.098,0.22,,86.0,26,44.32,490.6,952.0,2.45
1994-04-18 21:14:00,31.691833333333335,-64.135,5000.0,229.84,1.15,11.21,2242.73,388.098,0.02,,8.0,26,4.12,48.44,94.0,0.24
1994-04-18 21:42:00,31.757166666666667,-64.13616666666667,200.0,164.34,0.82,8.26,1651.11,362.665,0.24,,86.0,23,47.43,505.15,916.0,2.53
1994-04-18 21:42:00,31.757166666666667,-64.13616666666667,500.0,164.34,0.82,8.26,1651.11,362.665,0.22,,80.0,23,44.12,467.65,848.0,2.34
1994-04-18 21:42:00,31.757166666666667,-64.13616666666667,1000.0,164.34,0.82,8.26,1651.11,362.665,0.23,,82.0,23,45.22,394.85,716.0,1.97
1994-04-18 21:42:00,31.757166666666667,-64.13616666666667,2000.0,164.34,0.82,8.26,1651.11,362.665,0.13,,46.0,23,25.37,238.24,432.0,1.19
