Hawaii Ocean Time-series : 30-May-2024 15:46:32
https://hahana.soest.hawaii.edu/hot/hot-dogs/ppextraction.html

crn, date, stime, etime, itype, depth, chl, bsal, pbact, hbact, sbact, ebact, 
#, yymmdd, hhmm, hhmm, , m, mg/m3, PSS-78, #/ml, #/ml, #/ml, #/ml, 
  1, 881031,   -9,   -9,  0,   24,  0.129, -9.0000,      -9,      -9,      -9,      -9,
  1, 881031,   -9,   -9,  0,   42,  0.192, -9.0000,      -9,      -9,      -9,      -9,
  1, 881031,   -9,   -9,  0,   68,  0.285, -9.0000,      -9,      -9,      -9,      -9,
  1, 881031,   -9,   -9,  0,  114,  0.326, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,    0,  0.202, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,   25,  0.192, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,   50,  0.181, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,   76,  0.377, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,  102,  0.272, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,  127,  0.167, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,  150,  0.044, -9.0000,      -9,      -9,      -9,      -9,
  2, 881202,   -9,   -9,  0,  176,  0.025, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,    9,  0.192, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,   28,  0.256, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,   50,  0.240, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,   77,  0.213, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,  101,  0.266, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,  126,  0.269, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,  149,  0.145, -9.0000,      -9,      -9,      -9,      -9,
  3, 890108,   -9,   -9,  0,  178,  0.057, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,   10,  0.125, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,   26,  0.129, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,   45,  0.172, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,   75,  0.188, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,  101,  0.223, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,  125,  0.167, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,  151,  0.055, -9.0000,      -9,      -9,      -9,      -9,
  4, 890228,   -9,   -9,  0,  178,  0.025, -9.0000,      -9,      -9,      -9,      -9,
  5, 890327,   -9,   -9,  0,    5,  0.086, -9.0000,      -9,      -9,      -9,      -9,
  5, 890327,   -9,   -9,  0,   25,  0.066, -9.0000,      -9,      -9,      -9,      -9,
  5, 890327,   -9,   -9,  0,   45,  0.090, -9.0000,      -9,      -9,      -9,      -9,
