Hawaii Ocean Time-series : 30-May-2024 15:52:58
https://hahana.soest.hawaii.edu/hot/hot-dogs/mextraction.html

crn, date, time, frac, depth, dwt, 
#, mmddyy, hhmm, #, m, g/m2, 
 52, 021794, 1108, 0,  181.0,  0.0132,
 52, 021794, 1108, 1,  181.0,  0.0417,
 52, 021794, 1108, 2,  181.0,  0.0230,
 52, 021794, 1108, 3,  181.0,  0.0374,
 52, 021794, 1108, 4,  181.0,  0.0302,
 52, 021794, 1108, 5,  181.0,  0.1456,
 52, 021794, 1345, 0,  132.0,  0.0071,
 52, 021794, 1345, 1,  132.0,  0.0613,
 52, 021794, 1345, 2,  132.0,  0.0372,
 52, 021794, 1345, 3,  132.0,  0.0382,
 52, 021794, 1345, 4,  132.0,  0.0278,
 52, 021794, 1345, 5,  132.0,  0.1717,
 52, 021794, 2300, 0,  151.0,  0.0394,
 52, 021794, 2300, 1,  151.0,  0.2065,
 52, 021794, 2300, 2,  151.0,  0.1211,
 52, 021794, 2300, 3,  151.0,  0.1109,
 52, 021794, 2300, 4,  151.0,  0.0807,
 52, 021794, 2300, 5,  151.0,  0.5587,
 52, 021894,  145, 0,  148.0,  0.0520,
 52, 021894,  145, 1,  148.0,  0.2385,
 52, 021894,  145, 2,  148.0,  0.1222,
 52, 021894,  145, 3,  148.0,  0.0962,
 52, 021894,  145, 4,  148.0,  0.0720,
 52, 021894,  145, 5,  148.0,  0.5809,
 52, 021894, 1057, 0,  189.0,  0.0008,
 52, 021894, 1057, 1,  189.0,  0.0382,
 52, 021894, 1057, 2,  189.0,  0.0228,
 52, 021894, 1057, 3,  189.0,  0.0316,
 52, 021894, 1057, 4,  189.0,  0.0209,
 52, 021894, 1057, 5,  189.0,  0.1143,
 52, 021994,  140, 0,  137.0,  0.0617,
 52, 021994,  140, 1,  137.0,  0.1375,
 52, 021994,  140, 2,  137.0,  0.0928,
 52, 021994,  140, 3,  137.0,  0.0813,
 52, 021994,  140, 4,  137.0,  0.0733,
 52, 021994,  140, 5,  137.0,  0.4466,
 52, 021994, 1256, 0,  139.0,  0.0239,
 52, 021994, 1256, 1,  139.0,  0.1403,
 52, 021994, 1256, 2,  139.0,  0.1235,
 52, 021994, 1256, 3,  139.0,  0.1044,
 52, 021994, 1256, 4,  139.0,  0.0696,
 52, 021994, 1256, 5,  139.0,  0.4618,
 53, 030994, 1145, 0,  189.0,  0.0104,
 53, 030994, 1145, 1,  189.0,  0.0303,
 53, 030994, 1145, 2,  189.0,  0.0519,
 53, 030994, 1145, 3,  189.0,  0.1317,
 53, 030994, 1145, 4,  189.0,  0.1543,
 53, 030994, 1145, 5,  189.0,  0.3787,
 53, 030994, 2315, 0,  129.0,  0.0028,
 53, 030994, 2315, 1,  129.0,  0.0340,
 53, 030994, 2315, 2,  129.0,  0.0600,
 53, 030994, 2315, 3,  129.0,  0.0889,
 53, 030994, 2315, 4,  129.0,  0.1406,
 53, 030994, 2315, 5,  129.0,  0.3264,
 53, 031094,  210, 0,  181.0,  0.0530,
 53, 031094,  210, 1,  181.0,  0.0407,
 53, 031094,  210, 2,  181.0,  0.0850,
 53, 031094,  210, 3,  181.0,  0.1708,
 53, 031094,  210, 4,  181.0,  0.2438,
 53, 031094,  210, 5,  181.0,  0.5934,
 53, 031094, 1110, 0,  164.0,  0.0051,
 53, 031094, 1110, 1,  164.0,  0.0180,
 53, 031094, 1110, 2,  164.0,  0.0208,
 53, 031094, 1110, 3,  164.0,  0.0723,
 53, 031094, 1110, 4,  164.0,  0.1372,
 53, 031094, 1110, 5,  164.0,  0.2533,
 53, 031094, 2305, 0,  177.0,  0.0088,
 53, 031094, 2305, 1,  177.0,  0.0760,
 53, 031094, 2305, 2,  177.0,  0.1357,
 53, 031094, 2305, 3,  177.0,  0.2493,
 53, 031094, 2305, 4,  177.0,  0.2814,
 53, 031094, 2305, 5,  177.0,  0.7512,
 53, 031194, 1050, 0,  109.0,  0.0087,
 53, 031194, 1050, 1,  109.0,  0.0147,
 53, 031194, 1050, 2,  109.0,  0.0236,
 53, 031194, 1050, 3,  109.0,  0.0460,
 53, 031194, 1050, 4,  109.0,  0.1077,
 53, 031194, 1050, 5,  109.0,  0.2008,
 54, 061994, 1035, 0,   98.0,  0.0274,
 54, 061994, 1035, 1,   98.0,  0.0486,
 54, 061994, 1035, 2,   98.0,  0.0922,
 54, 061994, 1035, 3,   98.0,  0.0604,
 54, 061994, 1035, 4,   98.0,  0.0574,
 54, 061994, 1035, 5,   98.0,  0.2860,
 54, 061994, 2304, 0,  129.0,  0.0491,
 54, 061994, 2304, 1,  129.0,  0.1405,
 54, 061994, 2304, 2,  129.0,  0.1658,
 54, 061994, 2304, 3,  129.0,  0.1238,
 54, 061994, 2304, 4,  129.0,  0.1221,
 54, 061994, 2304, 5,  129.0,  0.6014,
 54, 061994,  150, 0,  169.0,  0.0947,
 54, 061994,  150, 1,  169.0,  0.1070,
 54, 061994,  150, 2,  169.0,  0.1672,
 54, 061994,  150, 3,  169.0,  0.1401,
 54, 061994,  150, 4,  169.0,  0.1433,
 54, 061994,  150, 5,  169.0,  0.6523,
 54, 061994, 1135, 0,  124.0,  0.0311,
 54, 061994, 1135, 1,  124.0,  0.0320,
 54, 061994, 1135, 2,  124.0,  0.1145,
 54, 061994, 1135, 3,  124.0,  0.1013,
 54, 061994, 1135, 4,  124.0,  0.0782,
 54, 061994, 1135, 5,  124.0,  0.3571,
 54, 061994,  106, 0,  163.0,  0.0074,
 54, 061994,  106, 1,  163.0,  0.1010,
 54, 061994,  106, 2,  163.0,  0.2188,
 54, 061994,  106, 3,  163.0,  0.1248,
 54, 061994,  106, 4,  163.0,  0.1243,
 54, 061994,  106, 5,  163.0,  0.5762,
 54, 061994, 1306, 0,  184.0,  0.0563,
 54, 061994, 1306, 1,  184.0, -9.0000,
 54, 061994, 1306, 2,  184.0,  0.1486,
 54, 061994, 1306, 3,  184.0,  0.1009,
 54, 061994, 1306, 4,  184.0,  0.0985,
 54, 061994, 1306, 5,  184.0, -9.0000,
 55, 072494, 2305, 0,  140.0,  0.2012,
 55, 072494, 2305, 1,  140.0,  0.1262,
 55, 072494, 2305, 2,  140.0,  0.1785,
 55, 072494, 2305, 3,  140.0,  0.1436,
 55, 072494, 2305, 4,  140.0,  0.1829,
 55, 072494, 2305, 5,  140.0,  0.8324,
 55, 072594,    8, 0,  183.0,  0.0484,
 55, 072594,    8, 1,  183.0,  0.2037,
 55, 072594,    8, 2,  183.0,  0.1945,
 55, 072594,    8, 3,  183.0,  0.2046,
 55, 072594,    8, 4,  183.0,  0.1602,
 55, 072594,    8, 5,  183.0,  0.8114,
 55, 072594, 1003, 0,  179.0,  0.0007,
 55, 072594, 1003, 1,  179.0,  0.0618,
 55, 072594, 1003, 2,  179.0,  0.2828,
 55, 072594, 1003, 3,  179.0,  0.3000,
 55, 072594, 1003, 4,  179.0,  0.2035,
 55, 072594, 1003, 5,  179.0,  0.8488,
 55, 072594, 1248, 0,  212.0,  0.0224,
 55, 072594, 1248, 1,  212.0,  0.0991,
 55, 072594, 1248, 2,  212.0,  0.2367,
 55, 072594, 1248, 3,  212.0,  0.2146,
 55, 072594, 1248, 4,  212.0,  0.1563,
 55, 072594, 1248, 5,  212.0,  0.7291,
 56, 083094,    5, 0,  206.0,  0.0771,
 56, 083094,    5, 1,  206.0,  0.5483,
 56, 083094,    5, 2,  206.0,  0.3132,
 56, 083094,    5, 3,  206.0,  0.3108,
 56, 083094,    5, 4,  206.0,  0.2820,
 56, 083094,    5, 5,  206.0,  1.5314,
 56, 083094, 1300, 0,  186.0,  0.0076,
 56, 083094, 1300, 1,  186.0,  0.1347,
 56, 083094, 1300, 2,  186.0,  0.1862,
 56, 083094, 1300, 3,  186.0,  0.2820,
 56, 083094, 1300, 4,  186.0,  0.2355,
 56, 083094, 1300, 5,  186.0,  0.8460,
 56, 083194,   50, 0,  150.0,  0.0424,
 56, 083194,   50, 1,  150.0,  0.2859,
 56, 083194,   50, 2,  150.0,  0.3108,
 56, 083194,   50, 3,  150.0,  0.3303,
 56, 083194,   50, 4,  150.0,  0.2161,
 56, 083194,   50, 5,  150.0,  1.1854,
 56, 083194, 1025, 0,  134.0,  0.0239,
 56, 083194, 1025, 1,  134.0,  0.0867,
 56, 083194, 1025, 2,  134.0,  0.1854,
 56, 083194, 1025, 3,  134.0,  0.3167,
 56, 083194, 1025, 4,  134.0,  0.1422,
 56, 083194, 1025, 5,  134.0,  0.7550,
 56, 083194, 2240, 0,  178.0,  0.1077,
 56, 083194, 2240, 1,  178.0,  0.1844,
 56, 083194, 2240, 2,  178.0,  0.2387,
 56, 083194, 2240, 3,  178.0,  0.2633,
 56, 083194, 2240, 4,  178.0,  0.1934,
 56, 083194, 2240, 5,  178.0,  0.9875,
 56, 083194, 1220, 0,  204.0,  0.0000,
 56, 083194, 1220, 1,  204.0,  0.0973,
 56, 083194, 1220, 2,  204.0,  0.2195,
 56, 083194, 1220, 3,  204.0,  0.2216,
 56, 083194, 1220, 4,  204.0,  0.1922,
 56, 083194, 1220, 5,  204.0,  0.7306,
 57, 092294, 1145, 0,  207.0,  0.0830,
 57, 092294, 1145, 1,  207.0,  0.1462,
 57, 092294, 1145, 2,  207.0,  0.1819,
 57, 092294, 1145, 3,  207.0,  0.2078,
 57, 092294, 1145, 4,  207.0,  0.1283,
 57, 092294, 1145, 5,  207.0,  0.7472,
 57, 092394, 1337, 0,  195.0,  0.0127,
 57, 092394, 1337, 1,  195.0,  0.1270,
 57, 092394, 1337, 2,  195.0,  0.2403,
 57, 092394, 1337, 3,  195.0,  0.2073,
 57, 092394, 1337, 4,  195.0,  0.1398,
 57, 092394, 1337, 5,  195.0,  0.7271,
 57, 092394, 2255, 0,  186.0,  0.0450,
 57, 092394, 2255, 1,  186.0,  0.2608,
 57, 092394, 2255, 2,  186.0,  0.2018,
 57, 092394, 2255, 3,  186.0,  0.1223,
 57, 092394, 2255, 4,  186.0,  0.0580,
 57, 092394, 2255, 5,  186.0,  0.6880,
 57, 092494,  117, 0,  188.0,  0.0389,
 57, 092494,  117, 1,  188.0,  0.2160,
 57, 092494,  117, 2,  188.0,  0.3256,
 57, 092494,  117, 3,  188.0,  0.1660,
 57, 092494,  117, 4,  188.0,  0.1797,
