instrument_type,time,latitude,longitude,depth,heterotrophic_bacteria,synechococcus_bacteria,phototrophic_bacteria,bottle_salinity,eukaryotic_bacteria,chlorophyll
0,1988-10-31 00:00:00,22.5,-158.0,50.0,,,,,,0.129
0,1988-10-31 00:00:00,22.5,-158.0,50.0,,,,,,0.192
0,1988-10-31 00:00:00,22.5,-158.0,100.0,,,,,,0.285
0,1988-10-31 00:00:00,22.5,-158.0,150.0,,,,,,0.326
0,1988-12-02 00:00:00,22.5,-158.0,50.0,,,,,,0.202
0,1988-12-02 00:00:00,22.5,-158.0,50.0,,,,,,0.192
0,1988-12-02 00:00:00,22.5,-158.0,50.0,,,,,,0.181
0,1988-12-02 00:00:00,22.5,-158.0,100.0,,,,,,0.377
0,1988-12-02 00:00:00,22.5,-158.0,150.0,,,,,,0.272
0,1988-12-02 00:00:00,22.5,-158.0,150.0,,,,,,0.167
0,1988-12-02 00:00:00,22.5,-158.0,150.0,,,,,,0.044
0,1988-12-02 00:00:00,22.5,-158.0,200.0,,,,,,0.025
0,1989-01-08 00:00:00,22.5,-158.0,50.0,,,,,,0.192
0,1989-01-08 00:00:00,22.5,-158.0,50.0,,,,,,0.256
0,1989-01-08 00:00:00,22.5,-158.0,50.0,,,,,,0.24
0,1989-01-08 00:00:00,22.5,-158.0,100.0,,,,,,0.213
0,1989-01-08 00:00:00,22.5,-158.0,150.0,,,,,,0.266
0,1989-01-08 00:00:00,22.5,-158.0,150.0,,,,,,0.269
0,1989-01-08 00:00:00,22.5,-158.0,150.0,,,,,,0.145
0,1989-01-08 00:00:00,22.5,-158.0,200.0,,,,,,0.057
0,1989-02-28 00:00:00,22.5,-158.0,50.0,,,,,,0.125
0,1989-02-28 00:00:00,22.5,-158.0,50.0,,,,,,0.129
0,1989-02-28 00:00:00,22.5,-158.0,50.0,,,,,,0.172
0,1989-02-28 00:00:00,22.5,-158.0,100.0,,,,,,0.188
0,1989-02-28 00:00:00,22.5,-158.0,150.0,,,,,,0.223
0,1989-02-28 00:00:00,22.5,-158.0,150.0,,,,,,0.167
0,1989-02-28 00:00:00,22.5,-158.0,200.0,,,,,,0.055
0,1989-02-28 00:00:00,22.5,-158.0,200.0,,,,,,0.025
0,1989-03-27 00:00:00,22.5,-158.0,50.0,,,,,,0.086
0,1989-03-27 00:00:00,22.5,-158.0,50.0,,,,,,0.066
0,1989-03-27 00:00:00,22.5,-158.0,50.0,,,,,,0.09
0,1989-03-27 00:00:00,22.5,-158.0,100.0,,,,,,0.163
0,1989-03-27 00:00:00,22.5,-158.0,100.0,,,,,,0.212
0,1989-03-27 00:00:00,22.5,-158.0,150.0,,,,,,0.373
0,1989-03-27 00:00:00,22.5,-158.0,150.0,,,,,,0.235
0,1989-03-27 00:00:00,22.5,-158.0,200.0,,,,,,0.041
0,1989-05-18 00:00:00,22.5,-158.0,50.0,,,,,,0.067
0,1989-05-18 00:00:00,22.5,-158.0,50.0,,,,,,0.077
0,1989-05-18 00:00:00,22.5,-158.0,50.0,,,,,,0.083
0,1989-05-18 00:00:00,22.5,-158.0,100.0,,,,,,0.091
0,1989-05-18 00:00:00,22.5,-158.0,100.0,,,,,,0.164
0,1989-05-18 00:00:00,22.5,-158.0,150.0,,,,,,0.208
0,1989-05-18 00:00:00,22.5,-158.0,150.0,,,,,,0.078
0,1989-05-18 00:00:00,22.5,-158.0,200.0,,,,,,0.084
0,1989-06-24 00:00:00,22.5,-158.0,50.0,,,,,,0.089
0,1989-06-24 00:00:00,22.5,-158.0,50.0,,,,,,0.09
0,1989-06-24 00:00:00,22.5,-158.0,50.0,,,,,,0.1
0,1989-06-24 00:00:00,22.5,-158.0,100.0,,,,,,0.194
0,1989-06-24 00:00:00,22.5,-158.0,100.0,,,,,,0.328
0,1989-06-24 00:00:00,22.5,-158.0,150.0,,,,,,0.144
0,1989-06-24 00:00:00,22.5,-158.0,150.0,,,,,,0.065
0,1989-06-24 00:00:00,22.5,-158.0,200.0,,,,,,0.039
1,1989-07-29 00:00:00,22.5,-158.0,50.0,,,,,,0.147
1,1989-07-29 00:00:00,22.5,-158.0,50.0,,,,,,0.143
1,1989-07-29 00:00:00,22.5,-158.0,50.0,,,,,,0.153
1,1989-07-29 00:00:00,22.5,-158.0,100.0,,,,,,0.19
1,1989-07-29 00:00:00,22.5,-158.0,100.0,,,,,,0.347
1,1989-07-29 00:00:00,22.5,-158.0,150.0,,,,,,0.233
1,1989-07-29 00:00:00,22.5,-158.0,150.0,,,,,,0.094
1,1989-07-29 00:00:00,22.5,-158.0,200.0,,,,,,0.095
0,1989-07-29 00:00:00,22.5,-158.0,50.0,,,,,,0.147
0,1989-07-29 00:00:00,22.5,-158.0,50.0,,,,,,0.143
0,1989-07-29 00:00:00,22.5,-158.0,50.0,,,,,,0.153
0,1989-07-29 00:00:00,22.5,-158.0,100.0,,,,,,0.19
0,1989-07-29 00:00:00,22.5,-158.0,100.0,,,,,,0.347
0,1989-07-29 00:00:00,22.5,-158.0,150.0,,,,,,0.233
0,1989-07-29 00:00:00,22.5,-158.0,150.0,,,,,,0.094
0,1989-07-29 00:00:00,22.5,-158.0,200.0,,,,,,0.095
0,1989-08-24 00:00:00,22.5,-158.0,50.0,,,,,,0.097
0,1989-08-24 00:00:00,22.5,-158.0,50.0,,,,,,0.109
0,1989-08-24 00:00:00,22.5,-158.0,50.0,,,,,,0.103
0,1989-08-24 00:00:00,22.5,-158.0,100.0,,,,,,0.211
0,1989-08-24 00:00:00,22.5,-158.0,100.0,,,,,,0.344
0,1989-08-24 00:00:00,22.5,-158.0,150.0,,,,,,0.201
0,1989-08-24 00:00:00,22.5,-158.0,150.0,,,,,,0.07
0,1989-08-24 00:00:00,22.5,-158.0,200.0,,,,,,0.039
1,1989-09-22 06:15:00,22.5,-158.0,50.0,,,,,,0.118
1,1989-09-22 06:15:00,22.5,-158.0,50.0,,,,,,0.13
1,1989-09-22 06:15:00,22.5,-158.0,50.0,,,,,,0.127
1,1989-09-22 06:15:00,22.5,-158.0,100.0,,,,,,0.109
1,1989-09-22 06:15:00,22.5,-158.0,100.0,,,,,,0.224
1,1989-09-22 06:15:00,22.5,-158.0,150.0,,,,,,0.14
1,1989-09-22 06:15:00,22.5,-158.0,150.0,,,,,,0.045
1,1989-09-22 06:15:00,22.5,-158.0,200.0,,,,,,0.023
0,1989-09-22 06:30:00,22.5,-158.0,50.0,,,,,,0.118
0,1989-09-22 06:30:00,22.5,-158.0,50.0,,,,,,0.13
0,1989-09-22 06:30:00,22.5,-158.0,50.0,,,,,,0.127
0,1989-09-22 06:30:00,22.5,-158.0,100.0,,,,,,0.109
0,1989-09-22 06:30:00,22.5,-158.0,100.0,,,,,,0.224
0,1989-09-22 06:30:00,22.5,-158.0,150.0,,,,,,0.14
0,1989-09-22 06:30:00,22.5,-158.0,150.0,,,,,,0.045
0,1989-09-22 06:30:00,22.5,-158.0,200.0,,,,,,0.023
1,1989-10-18 06:15:00,22.5,-158.0,50.0,,,,,,0.12
1,1989-10-18 06:15:00,22.5,-158.0,50.0,,,,,,0.111
1,1989-10-18 06:15:00,22.5,-158.0,50.0,,,,,,0.207
1,1989-10-18 06:15:00,22.5,-158.0,100.0,,,,,,0.259
1,1989-10-18 06:15:00,22.5,-158.0,100.0,,,,,,0.154
1,1989-10-18 06:15:00,22.5,-158.0,150.0,,,,,,0.07
1,1989-10-18 06:15:00,22.5,-158.0,200.0,,,,,,0.02
1,1989-10-18 06:15:00,22.5,-158.0,200.0,,,,,,0.015
0,1989-10-18 05:45:00,22.5,-158.0,50.0,,,,,,0.12
0,1989-10-18 05:45:00,22.5,-158.0,50.0,,,,,,0.111
0,1989-10-18 05:45:00,22.5,-158.0,50.0,,,,,,0.207
0,1989-10-18 05:45:00,22.5,-158.0,100.0,,,,,,0.259
0,1989-10-18 05:45:00,22.5,-158.0,100.0,,,,,,0.154
0,1989-10-18 05:45:00,22.5,-158.0,150.0,,,,,,0.07
0,1989-10-18 05:45:00,22.5,-158.0,200.0,,,,,,0.02
0,1989-10-18 05:45:00,22.5,-158.0,200.0,,,,,,0.015
1,1989-11-28 05:45:00,22.5,-158.0,50.0,,,,,,0.11
1,1989-11-28 05:45:00,22.5,-158.0,50.0,,,,,,0.107
1,1989-11-28 05:45:00,22.5,-158.0,50.0,,,,,,0.109
1,1989-11-28 05:45:00,22.5,-158.0,50.0,,,,,,0.115
1,1989-11-28 05:45:00,22.5,-158.0,100.0,,,,,,0.218
1,1989-11-28 05:45:00,22.5,-158.0,100.0,,,,,,0.275
1,1989-11-28 05:45:00,22.5,-158.0,150.0,,,,,,0.214
1,1989-11-28 05:45:00,22.5,-158.0,150.0,,,,,,0.052
0,1989-11-28 06:00:00,22.5,-158.0,50.0,,,,,,0.11
0,1989-11-28 06:00:00,22.5,-158.0,50.0,,,,,,0.107
0,1989-11-28 06:00:00,22.5,-158.0,50.0,,,,,,0.109
0,1989-11-28 06:00:00,22.5,-158.0,50.0,,,,,,0.115
0,1989-11-28 06:00:00,22.5,-158.0,100.0,,,,,,0.218
0,1989-11-28 06:00:00,22.5,-158.0,100.0,,,,,,0.275
0,1989-11-28 06:00:00,22.5,-158.0,150.0,,,,,,0.214
0,1989-11-28 06:00:00,22.5,-158.0,150.0,,,,,,0.052
