,time,lat,lon,depth,cruise,stime,etime,itype,chl,phaeo,l12,d12,bsal,pbact,hbact,sbact,ebact
0,1988-10-31T00:00:00,22.75,-158,24,HOT001,,,0,0.129,0.077,12.21,,,,,,
1,1988-10-31T00:00:00,22.75,-158,42,HOT001,,,0,0.192,0.051,2.47,0.07,,,,,
2,1988-10-31T00:00:00,22.75,-158,68,HOT001,,,0,0.285,0.303,2.58,0.06,,,,,
3,1988-10-31T00:00:00,22.75,-158,114,HOT001,,,0,0.326,0.044,0.72,0.16,,,,,
4,1988-12-02T00:00:00,22.75,-158,0,HOT002,,,0,0.202,0.0,,,,,,,
5,1988-12-02T00:00:00,22.75,-158,25,HOT002,,,0,0.192,0.01,,,,,,,
6,1988-12-02T00:00:00,22.75,-158,50,HOT002,,,0,0.181,0.01,,,,,,,
7,1988-12-02T00:00:00,22.75,-158,76,HOT002,,,0,0.377,0.076,,,,,,,
8,1988-12-02T00:00:00,22.75,-158,102,HOT002,,,0,0.272,0.475,,,,,,,
9,1988-12-02T00:00:00,22.75,-158,127,HOT002,,,0,0.167,0.149,,,,,,,
10,1988-12-02T00:00:00,22.75,-158,150,HOT002,,,0,0.044,0.052,,,,,,,
11,1988-12-02T00:00:00,22.75,-158,176,HOT002,,,0,0.025,0.041,,,,,,,
12,1989-01-08T00:00:00,22.75,-158,9,HOT003,,,0,0.192,0.122,2.005,0.06,,,,,
13,1989-01-08T00:00:00,22.75,-158,28,HOT003,,,0,0.256,0.086,2.975,0.05,,,,,
14,1989-01-08T00:00:00,22.75,-158,50,HOT003,,,0,0.24,0.072,4.6,0.1,,,,,
15,1989-01-08T00:00:00,22.75,-158,77,HOT003,,,0,0.213,0.086,2.11,0.06,,,,,
16,1989-01-08T00:00:00,22.75,-158,101,HOT003,,,0,0.266,0.047,,,,,,,
17,1989-01-08T00:00:00,22.75,-158,126,HOT003,,,0,0.269,0.214,0.33,0.06,,,,,
18,1989-01-08T00:00:00,22.75,-158,149,HOT003,,,0,0.145,0.249,,,,,,,
19,1989-01-08T00:00:00,22.75,-158,178,HOT003,,,0,0.057,0.063,0.045,0.03,,,,,
20,1989-02-28T00:00:00,22.75,-158,10,HOT004,,,0,0.125,0.05,4.75,0.1,,,,,
21,1989-02-28T00:00:00,22.75,-158,26,HOT004,,,0,0.129,0.048,5.48,0.13,,,,,
22,1989-02-28T00:00:00,22.75,-158,45,HOT004,,,0,0.172,0.063,2.61,0.07,,,,,
23,1989-02-28T00:00:00,22.75,-158,75,HOT004,,,0,0.188,0.133,1.7,0.07,,,,,
24,1989-02-28T00:00:00,22.75,-158,101,HOT004,,,0,0.223,0.199,,,,,,,
25,1989-02-28T00:00:00,22.75,-158,125,HOT004,,,0,0.167,0.227,2.38,0.06,,,,,
26,1989-02-28T00:00:00,22.75,-158,151,HOT004,,,0,0.055,0.096,,,,,,,
27,1989-02-28T00:00:00,22.75,-158,178,HOT004,,,0,0.025,0.029,0.1,0.05,,,,,
28,1989-03-27T00:00:00,22.75,-158,5,HOT005,,,0,0.086,0.039,1.92,,,,,,
29,1989-03-27T00:00:00,22.75,-158,25,HOT005,,,0,0.066,0.034,4.92,,,,,,
30,1989-03-27T00:00:00,22.75,-158,45,HOT005,,,0,0.09,0.027,4.07,,,,,,
31,1989-03-27T00:00:00,22.75,-158,75,HOT005,,,0,0.163,0.061,1.015,,,,,,
32,1989-03-27T00:00:00,22.75,-158,100,HOT005,,,0,0.212,0.168,,,,,,,
33,1989-03-27T00:00:00,22.75,-158,125,HOT005,,,0,0.373,0.428,0.795,,,,,,
34,1989-03-27T00:00:00,22.75,-158,150,HOT005,,,0,0.235,0.39,,,,,,,
35,1989-03-27T00:00:00,22.75,-158,175,HOT005,,,0,0.041,0.048,0.34,,,,,,
36,1989-05-18T00:00:00,22.75,-158,5,HOT006,,,0,0.067,0.028,4.025,0.27,,,,,
37,1989-05-18T00:00:00,22.75,-158,25,HOT006,,,0,0.077,0.042,7.355,0.35,,,,,
38,1989-05-18T00:00:00,22.75,-158,45,HOT006,,,0,0.083,0.041,3.35,0.37,,,,,
39,1989-05-18T00:00:00,22.75,-158,75,HOT006,,,0,0.091,0.047,5.54,0.19,,,,,
40,1989-05-18T00:00:00,22.75,-158,100,HOT006,,,0,0.164,0.13,,,,,,,
41,1989-05-18T00:00:00,22.75,-158,125,HOT006,,,0,0.208,0.373,0.23,0.23,,,,,
42,1989-05-18T00:00:00,22.75,-158,150,HOT006,,,0,0.078,0.04,,,,,,,
43,1989-05-18T00:00:00,22.75,-158,175,HOT006,,,0,0.084,0.038,0.155,0.16,,,,,
44,1989-06-24T00:00:00,22.75,-158,5,HOT007,,,0,0.089,0.011,4.7,0.21,,,,,
45,1989-06-24T00:00:00,22.75,-158,25,HOT007,,,0,0.09,0.011,3.015,0.19,,,,,
46,1989-06-24T00:00:00,22.75,-158,45,HOT007,,,0,0.1,0.026,3.1,0.24,,,,,
47,1989-06-24T00:00:00,22.75,-158,75,HOT007,,,0,0.194,0.058,1.105,0.18,,,,,
48,1989-06-24T00:00:00,22.75,-158,100,HOT007,,,0,0.328,0.271,3.32,0.12,,,,,
49,1989-06-24T00:00:00,22.75,-158,125,HOT007,,,0,0.144,0.274,0.325,0.13,,,,,
50,1989-06-24T00:00:00,22.75,-158,150,HOT007,,,0,0.065,0.147,0.21,0.14,,,,,
