,time,lat,lon,depth,cruise,frac,tow,vol,svol,wwt,dwt,carb,nit,abnd
0,1994-02-17T11:08:00,22.75,-158,181,HOT052,0,8,726,,0.2642,0.0132,3.95,1.09,24.0
1,1994-02-17T11:08:00,22.75,-158,181,HOT052,1,8,726,,0.417,0.0417,14.05,3.26,221.0
2,1994-02-17T11:08:00,22.75,-158,181,HOT052,2,8,726,,0.2302,0.023,8.89,2.19,240.0
3,1994-02-17T11:08:00,22.75,-158,181,HOT052,3,8,726,,0.3738,0.0374,14.21,3.24,2331.0
4,1994-02-17T11:08:00,22.75,-158,181,HOT052,4,8,726,,0.2749,0.0302,11.81,2.66,5595.0
5,1994-02-17T11:08:00,22.75,-158,181,HOT052,5,8,726,,1.5601,0.1456,52.91,12.43,8411.0
6,1994-02-17T13:45:00,22.75,-158,132,HOT052,0,9,782,,0.1015,0.0071,2.53,0.65,778.0
7,1994-02-17T13:45:00,22.75,-158,132,HOT052,1,9,782,,0.7665,0.0613,22.27,6.03,227.0
8,1994-02-17T13:45:00,22.75,-158,132,HOT052,2,9,782,,0.3724,0.0372,13.32,3.31,784.0
9,1994-02-17T13:45:00,22.75,-158,132,HOT052,3,9,782,,0.3817,0.0382,14.0,3.39,3616.0
10,1994-02-17T13:45:00,22.75,-158,132,HOT052,4,9,782,,0.2321,0.0278,10.44,2.39,3415.0
11,1994-02-17T13:45:00,22.75,-158,132,HOT052,5,9,782,,1.8542,0.1717,62.55,15.77,8819.0
12,1994-02-17T23:00:00,22.75,-158,151,HOT052,0,10,634,,0.9857,0.0394,15.99,3.86,386.0
13,1994-02-17T23:00:00,22.75,-158,151,HOT052,1,10,634,,1.3768,0.2065,89.61,21.33,1032.0
14,1994-02-17T23:00:00,22.75,-158,151,HOT052,2,10,634,,0.7126,0.1211,51.09,12.34,998.0
15,1994-02-17T23:00:00,22.75,-158,151,HOT052,3,10,634,,0.7919,0.1109,44.93,10.43,3400.0
16,1994-02-17T23:00:00,22.75,-158,151,HOT052,4,10,634,,0.5766,0.0807,27.08,6.48,12167.0
17,1994-02-17T23:00:00,22.75,-158,151,HOT052,5,10,634,,4.4435,0.5587,228.7,54.43,17983.0
18,1994-02-18T01:45:00,22.75,-158,148,HOT052,0,11,720,,0.4729,0.052,20.19,4.76,134.0
19,1994-02-18T01:45:00,22.75,-158,148,HOT052,1,11,720,,1.7033,0.2385,94.4,25.29,1042.0
20,1994-02-18T01:45:00,22.75,-158,148,HOT052,2,11,720,,0.7188,0.1222,50.06,12.22,1622.0
21,1994-02-18T01:45:00,22.75,-158,148,HOT052,3,11,720,,0.6873,0.0962,40.96,10.03,4167.0
22,1994-02-18T01:45:00,22.75,-158,148,HOT052,4,11,720,,0.5143,0.072,29.63,6.84,10800.0
23,1994-02-18T01:45:00,22.75,-158,148,HOT052,5,11,720,,4.0964,0.5809,235.24,59.15,17765.0
24,1994-02-18T10:57:00,22.75,-158,189,HOT052,0,12,489,,0.0788,0.0008,0.26,0.07,32.0
25,1994-02-18T10:57:00,22.75,-158,189,HOT052,1,12,489,,0.2935,0.0382,13.39,3.18,271.0
26,1994-02-18T10:57:00,22.75,-158,189,HOT052,2,12,489,,0.1903,0.0228,8.58,1.85,251.0
27,1994-02-18T10:57:00,22.75,-158,189,HOT052,3,12,489,,0.2633,0.0316,13.29,3.14,3022.0
28,1994-02-18T10:57:00,22.75,-158,189,HOT052,4,12,489,,0.161,0.0209,8.41,1.9,3103.0
29,1994-02-18T10:57:00,22.75,-158,189,HOT052,5,12,489,,0.9868,0.1143,43.92,10.15,6679.0
30,1994-02-19T01:40:00,22.75,-158,137,HOT052,0,13,691,,0.6856,0.0617,19.62,5.12,148.0
31,1994-02-19T01:40:00,22.75,-158,137,HOT052,1,13,691,,1.1456,0.1375,54.48,13.7,910.0
32,1994-02-19T01:40:00,22.75,-158,137,HOT052,2,13,691,,0.6188,0.0928,40.77,9.92,1349.0
33,1994-02-19T01:40:00,22.75,-158,137,HOT052,3,13,691,,0.5809,0.0813,34.21,8.18,4717.0
34,1994-02-19T01:40:00,22.75,-158,137,HOT052,4,13,691,,0.4888,0.0733,30.42,7.01,13823.0
35,1994-02-19T01:40:00,22.75,-158,137,HOT052,5,13,691,,3.5197,0.4466,179.5,43.93,20948.0
36,1994-02-19T12:56:00,22.75,-158,139,HOT052,0,14,670,,0.2656,0.0239,8.09,1.99,142.0
37,1994-02-19T12:56:00,22.75,-158,139,HOT052,1,14,670,,1.2757,0.1403,54.27,13.87,789.0
38,1994-02-19T12:56:00,22.75,-158,139,HOT052,2,14,670,,0.9503,0.1235,47.86,12.23,2164.0
39,1994-02-19T12:56:00,22.75,-158,139,HOT052,3,14,670,,0.8703,0.1044,41.26,10.29,5661.0
40,1994-02-19T12:56:00,22.75,-158,139,HOT052,4,14,670,,0.5797,0.0696,27.4,6.6,12519.0
41,1994-02-19T12:56:00,22.75,-158,139,HOT052,5,14,670,,3.9416,0.4618,178.87,44.98,21276.0
42,1994-03-09T11:45:00,22.75,-158,189,HOT053,0,15,481,,0.2089,0.0104,3.12,0.69,109.0
43,1994-03-09T11:45:00,22.75,-158,189,HOT053,1,15,481,,0.6063,0.0303,8.45,2.21,1060.0
44,1994-03-09T11:45:00,22.75,-158,189,HOT053,2,15,481,,0.5193,0.0519,16.88,3.37,1586.0
45,1994-03-09T11:45:00,22.75,-158,189,HOT053,3,15,481,,1.0129,0.1317,57.73,12.99,9449.0
46,1994-03-09T11:45:00,22.75,-158,189,HOT053,4,15,481,,1.1021,0.1543,76.58,17.65,25670.0
47,1994-03-09T11:45:00,22.75,-158,189,HOT053,5,15,481,,3.4495,0.3787,162.76,36.91,37875.0
48,1994-03-09T23:15:00,22.75,-158,129,HOT053,0,16,1469,,0.0702,0.0028,0.74,0.17,38.0
49,1994-03-09T23:15:00,22.75,-158,129,HOT053,1,16,1469,,0.3094,0.034,12.77,3.16,427.0
50,1994-03-09T23:15:00,22.75,-158,129,HOT053,2,16,1469,,0.4002,0.06,25.14,6.03,1610.0
51,1994-03-09T23:15:00,22.75,-158,129,HOT053,3,16,1469,,0.635,0.0889,37.42,9.05,5832.0
52,1994-03-09T23:15:00,22.75,-158,129,HOT053,4,16,1469,,0.8788,0.1406,61.4,14.79,17399.0
53,1994-03-09T23:15:00,22.75,-158,129,HOT053,5,16,1469,,2.2935,0.3264,137.47,33.2,25306.0
54,1994-03-10T02:10:00,22.75,-158,181,HOT053,0,17,595,,0.7569,0.053,11.84,2.91,152.0
55,1994-03-10T02:10:00,22.75,-158,181,HOT053,1,17,595,,0.3699,0.0407,13.79,3.39,436.0
