Key;region_name;Station;lon;lat;Date;STN_TIME;Twilight;Net_Type;Mesh_Size(um);Net_Mouth_Dia(m);DEPTH_STRT;DEPTH_END;Bottom Depth(m);Volume Filtered(m3);CTD;NOTES;Pi;NumberOfSpecies;SumOfDiversity;ANNE:POLY: >> POLY larvae s1;ANNE:POLY: >> POLY s1;ANNE:POLY: >> POLY s2;ANNE:POLY: >> POLY s3;ARCR:: >> CIRRI s1;ARCR:: >> CRUST larvae s1;ARCR:AMPH:GAMM >> GAMM s1;ARCR:AMPH:GAMM >> GAMM s2;ARCR:AMPH:GAMM >> GAMM s3;ARCR:AMPH:HYPE >> HYPER s1;ARCR:AMPH:HYPE >> HYPER s2;ARCR:AMPH:HYPE >> HYPER s3;ARCR:CLAD: >> CLADO s1;ARCR:COPE: >> COPE other <2mm;ARCR:COPE: >> COPE other >2mm;ARCR:COPE: >> COPEN s1;ARCR:COPE:CALA >> CALA <1mm;ARCR:COPE:CALA >> CALA <3mm≥1mm;ARCR:COPE:CALA >> CALA <5mm≥3mm;ARCR:COPE:CALA >> CALA >5mm;ARCR:DECA:MYSI >> MYSID s1;ARCR:DECA:MYSI >> MYSID s2;ARCR:DECA:MYSI >> MYSID s3;ARCR:DECA:NANT >> CARID s1;ARCR:DECA:NANT >> CARID s2;ARCR:DECA:NANT >> CARID s3;ARCR:DECA:REPA >> DECA s1;ARCR:DECA:REPA >> DECA s2;ARCR:DECA:REPA >> DECA s3;ARCR:EUPH: >> EUPH eggs;ARCR:EUPH: >> EUPH s1;ARCR:EUPH: >> EUPH s2;ARCR:EUPH: >> EUPH s3;ARCR:ISOP: >> ISOPOD s1;ARCR:ISOP: >> ISOPOD s2;ARCR:ISOP: >> ISOPOD s3;ARCR:OSTR: >> OSTRA <3mm;ARCR:OSTR: >> OSTRA >3mm;CHAE:: >> CHAET s1;CHAE:: >> CHAET s2;CHAE:: >> CHAET s3;CHRO:: >> PROTO s1;CHRO:: >> PROTO s2;CNID:ANTH: >> ANTH s1;CNID:ANTH: >> ANTH s2;CNID:HYDR: >> MEDUS s1;CNID:HYDR: >> MEDUS s2;CNID:HYDR: >> MEDUS s3;CNID:HYDR:SIPH >> CALYC s1;CNID:HYDR:SIPH >> CALYC s2;CNID:HYDR:SIPH >> CALYC s3;CNID:HYDR:SIPH >> PHYS float >5mm;CNID:HYDR:SIPH >> PHYS s1;CNID:HYDR:SIPH >> PHYS s2;CNID:HYDR:SIPH >> PHYS s3;CNID:SCYF: >> SCYPH s1;CNID:SCYF: >> SCYPH s2;CNID:SCYF: >> SCYPH s3;CTEN:: >> CTENO s1;CTEN:: >> CTENO s2;CTEN:: >> CTENO s3;ECHI:: >> ECHIN s1;ECTO:: >> BRYOC s1;MOCE:OCTO: >> CEPH s1;MOCE:OCTO: >> CEPH s2;MOCE:OCTO: >> CEPH s3;MOGA:HETE: >> HETERO s1;MOGA:HETE: >> HETERO s2;MOGA:HETE: >> HETERO s3;MOGA:PTER: >> CLIO s1;MOGA:PTER: >> CLIO s2;MOGA:PTER: >> CLIO s3;MOGA:PTER: >> GYMNO s1;MOGA:PTER: >> GYMNO s2;MOGA:PTER: >> GYMNO s3;MOGA:PTER: >> LIM-- s0;MOGA:PTER: >> LIM-- s1;MOGA:PTER: >> LIM-- s2;MOGA:PTER: >> LIM-- s3;MOLL:: >> MOLL s1;UROC:LARV: >> LARVAC s1;UROC:LARV: >> LARVAC s2;UROC:LARV: >> LARVAC s3;UROC:THAL: >> DOLIO s1;UROC:THAL: >> DOLIO s2;UROC:THAL: >> DOLIO s3;UROC:THAL: >> SALP s1;UROC:THAL: >> SALP s2;UROC:THAL: >> SALP s3;VERT:PISC: >> PISCES egg s1;VERT:PISC: >> PISCES s1;VERT:PISC: >> PISCES s2;VERT:PISC: >> PISCES s3;XXXX >> Remainder
IOS1995030003701;Northern Vancouver Island Offshore;JO16;-128.563;49.820;24 9 1995;2030;Daylight;Bongo VNH;236;0,56;246;0;1650;86.33;61; ;2;59;2,312;0;0;0;0;0;0;0;0;0;0;0,21777;0,25067;0;0,24035;0;0;0,99503;3,42351;2,69227;0,07506;0;0;0;0;0,03012;1,14259;0;0,1668;0;0,00445;0;0,08572;4,56277;0;0;0;0,35584;0;0;0,14326;2,40658;0,03796;0;0;0;0;0;1,63303;0;0;0,30117;0;0;0;0;0;0;0;0;0;0;0,01275;0;0;0;0;0;0;0;0;0;0,42627;0;0;0;0,75617;0;0;0;0,01038;0,02965;0,01001;0;0;0;0;0;0;0;0;0;0;0,07819;0
IOS1995030003801;Northern Vancouver Island Offshore;JO16;-128.563;49.820;24 9 1995;2043;Night;Bongo VNH;236;0,56;50;0;1650;36.09;61; ;2;38;1,943;0;0;0;0;0;0;0;0;0;0;0,37684;0,89221;0;0,62953;0;0,00106;3,1725;14,75422;0,15185;0,08978;0;0;0;0;0;3,48351;0;0;0;0;0;0,78104;5,25332;0;0;0;0,28374;0;0;0,36575;2,30258;0,0681;0;0;0;0;0;6,6373;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0156;0,07093;0;0;0;0;0;0;0;0;0;0;0;4,22832;0
IOS1995030003901;Northern Vancouver Island Offshore;JO14;-128.259;49.560;25 9 1995;2034;Daylight;Bongo VNH;236;0,56;247;0;2319;113.58;63; ;2;39;2,035;0;0;0;0;0;0;0;0,05811;0;0;0;0,2835;0;0,07227;0;0,00017;0,16229;0,46825;0,3438;0,02853;0;0;0;0;0;0,67265;0;0,06339;0;0;0,01127;0,59456;3,82681;0;0;0;0,1127;0;0,00394;0,1296;3,03292;0,01082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0854;0;0;0;0;0;0;0;0;0;0,07184;0;0;0;0,00034;0,00563;0;0;0;0;0;0;0;0;0;0;0;0;0
IOS1995030004001;Northern Vancouver Island Offshore;JO14;-128.259;49.560;25 9 1995;2046;Night;Bongo VNH;236;0,56;49;0;2319;24.77;63; ;2;29;1,735;0;0;0;0,25838;0;0;0;0;0;0;0,54905;2,52564;0;0,28938;0;0;0,97124;1,12653;0,13484;0;0;0;0;0;0;0;0;0,29067;0;0;0;2,98748;27,36262;0;0;0;0;0;0;0,04295;1,35648;0,0248;0;0;0;0;0;2,21558;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0022;0;0;0;0;0;0;0;0;0;0;0;0;0;0,54905;0;0;0;0,00905;0;0;0;0;0;0;0;0;0;0;0;0,94146;0;0
IOS1995030004101;Northern Vancouver Island Offshore;JI14;-128.075;49.670;25 9 1995;2315;Night;Bongo VNH;236;0,56;235;0;2311;69.70;64; ;2;43;2,093;0;0;0;0;0;0;0;0,18938;0;0;0,13486;0,89297;0;0,1134;0;0;0,6141;2,88689;0,80362;0;0;0;0;0;0;1,09613;0;0;0;0,00826;0;0,33285;3,0528;0,34892;0;0;0,14692;0;0,01286;0,17756;3,19225;0,07052;0;0;0;0;0;0,60258;0;0,01693;0,14921;0;0;0;0;0;0;0;0;0;0;0,00156;0;0;0;0;0;0;0;0;0;0;0;0;0;0,62439;0;0;0;0,00808;0;0,0124;0;0;0;0;0;0;0;0;0;0,33458;0;0
IOS1995030004201;Northern Vancouver Island Offshore;JI14;-128.075;49.670;25 9 1995;2335;Night;Bongo VNH;236;0,56;48;0;2311;10.54;64; ;2;37;1,983;0;0;0,01992;0;0;0;0;0,31309;0;0;0;2,00759;0;0,84584;0;0;2,48046;13,39507;10,90161;0,6148;0;0;0;0;0;1,81214;0;0;0;0;0;5,23719;21,66035;0;0;0;0,48577;0;0;0,51916;4,25996;0,27203;0;0;0;0;1,6129;10,16129;0;0;0,05598;0;0;0;0;0;0;0;0;0;0;0,02065;0;0;0;0;0;0;0;0;0;0;0;0;0;6,19355;0;0;0;0,10687;0,12144;0,12296;0;0;0;0;0;0;0;0;0;1,10626;0;0
IOS1995030004301;Northern Vancouver Island Offshore;JI12;-128.728;49.416;26 9 1995;0327;Night;Bongo VNH;236;0,56;249;0;1785;80.95;65;Lots of paint chips and jelly fragments. ;2;49;2,553;0;0;0;0,084;0,01977;0;0;0;0;0;0,168;0,20753;0;0,03837;0;0;0,12726;0,52209;0,85929;0,0168;0;0;0;0;0;0,4719;0;0,00699;0;0,0001;0;0,23842;1,44287;0;0;0;0,11069;0;0,00277;0,14472;1,92439;0,01644;0;0;0;0;0;1,19679;0;0,06646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08647;0;0;0;0;0;0,00012;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IOS1995030004401;Northern Vancouver Island Offshore;JI12;-128.728;49.416;26 9 1995;0342;Night;Bongo VNH;236;0,56;47;0;1785;14.18;65;Some paint chips and sand. ;2;37;2,108;0,01241;0;0;0;0;0;0;1,16361;0;0;0,33145;0,35684;0;0,24067;0;0,00068;0,67173;3,65912;3,30465;0;0;0;0;0;0;0;0;0;0;0;0;0,74668;5,71368;0;0;0;0,18054;0;0;0,03724;1,3763;0;0;0;0;0;0;3,34274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,57546;0;0;0;0,01173;0,03385;0;0;0;0;0;0;0;0;0;0;0;0;0,08801
IOS1995030005801;Northern Vancouver Island Offshore;LBP7;-128.204;49.895;28 9 1995;2140;Night;Bongo VNH;236;0,56;250;0;2200;59.87;85; ;2;44;2,404;0;0;0;0;0;0;0;0;0,57124;0;0,15701;0,16903;0;0,08017;0;0;0,18712;0,5166;0,70887;0;0;0;0;0;0;0,1236;0;0,6013;0;0,01082;0;0,29838;1,18116;0;0;0;0,06414;0;0,00374;0,2335;4,13629;0,01486;0;0;0;0;0,25388;0,70152;0;0;0;0;0;0,075;0;0;0;0;0;0;0;0,00412;0;0;0,09354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00347;0,00802;0;0;0;0;0;0;0;0;0;0;0;0;0
IOS1996001009001;Northern Vancouver Island Offshore;P12;-130.667;48.970;6 3 1996;1110;Daylight;Bongo VNH;236;0,56;136;0;3200;62.37;90;Flowmeter reading may be incorrect. Calculated value is 31.403 m³. Sample full of fine setae - Thalassiothrix ;2;40;2,715;0;0;0;0;0;0;0;0;0;0;0,13468;0;0;0,2431;0;0,00123;0,99422;2,62792;5,53907;0,13083;0;0;0;0,30784;0;0;0;0;0;0,01078;0;0,16239;0,63017;0;0;0;0,16418;0;0,07183;0,43509;1,17043;0,12519;0;0;0;0;0,24371;1,3468;0;0;0,03784;0;0;0;0;0;0;0;0;0;0;0,00174;0,00267;0;0;0;0;0;0;0;0;0;0;0;0;0;1,16979;0,18701;0;0;0,01026;0,09697;0;0;0;0;0;0;0;0;0;0;0;0
